# This dataset provides a comprehensive look at Airbnb prices in London. ,,,,,,,,,,,,,,,,,
# The dataset includes information such as realSum (the total price of the listing); multi (indicator if the listing belongs to hosts with 2-4 offers); biz (indicator if the listing belongs to hosts with more than 4 offers); bedrooms (0 for studios); dist (distance from city center) ; attr_index (accessibility of attractions within the city); rest_index (accessibility of restaurants within the city) etc. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat
63,293.75,Private room,FALSE,,2,FALSE,0,1,9,86,1,9.504509022,0.341393907,117.6254123,286.4740505,-0.164,51.426
64,293.75,Private room,FALSE,TRUE,2,FALSE,0,1,9,84,1,9.378805867,0.358391919,119.1645925,277.0672258,-0.163,51.427
65,293.75,Private room,FALSE,TRUE,2,FALSE,0,1,8,80,1,9.504512483,0.341405043,117.6253668,286.4731092,-0.164,51.426
66,293.75,Private room,FALSE,TRUE,2,FALSE,0,1,8,82,1,9.504517475,0.341384406,117.6253132,286.4774844,-0.164,51.426
67,293.75,Private room,FALSE,TRUE,2,FALSE,0,1,9,84,1,9.50451857,0.34139624,117.625296,286.4758883,-0.164,51.426
68,268.12,Private room,FALSE,TRUE,2,FALSE,0,1,8,78,1,9.52329474,0.28754187,117.4174182,299.0919085,-0.165,51.426
69,268.12,Private room,FALSE,TRUE,2,FALSE,0,1,9,87,1,9.523273118,0.287546613,117.4176769,299.0818429,-0.165,51.426
70,268.12,Private room,FALSE,TRUE,2,FALSE,0,1,8,83,1,9.523278644,0.287533351,117.4176153,299.0828698,-0.165,51.426
71,0.12,Private room,FALSE,TRUE,2,FALSE,0,1,9,86,1,9.5232789,0.287533571,117.4176121,299.0830246,-0.165,51.426
72,268.12,Private room,FALSE,TRUE,2,FALSE,0,1,8,86,1,9.523277003,0.287533965,117.4176348,299.0821388,-0.165,51.426
73,309.27,Private room,FALSE,TRUE,2,FALSE,0,1,10,100,1,4.776128754,0.539544627,225.4643056,472.8523821,-0.14097,51.46623
74,386.42,Private room,FALSE,TRUE,2,FALSE,0,0,9,80,1,6.197214465,1.22108841,176.6121731,373.7989393,-0.12831,51.45263
75,180.39,Private room,FALSE,TRUE,2,FALSE,0,1,7,60,1,11.78209025,3.406410653,108.0181158,216.0772281,0.03438,51.47672
76,360.78,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,8,83,1,4.639102459,0.495516578,270.0775853,664.5221864,-0.19317,51.51606
77,206.26,Private room,FALSE,TRUE,2,FALSE,0,0,4,80,1,5.945220988,1.742977966,,427.6661518,-0.18049,51.46636
78,180.39,Private room,FALSE,TRUE,2,FALSE,1,0,9,97,1,6.748404174,1.755725318,164.9537136,337.9801693,23.09898,51.45035
79,199.68,Private room,FALSE,TRUE,2,FALSE,0,0,10,98,1,4.455051097,1.905730867,258.1071495,474.1945944,-0.08105,51.48072
80,344.08,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,8,100,1,5.263731225,2.04001613,218.9234858,490.0994404,-0.07521,51.54258
81,214.96,Private room,FALSE,TRUE,2,TRUE,0,0,10,100,1,4.588841559,1.40956014,249.0778957,561.9184983,-0.08162,51.53801
82,257.53,Private room,FALSE,TRUE,2,TRUE,1,0,10,100,1,7.283982144,0.33337456,169.1672786,410.8581595,-0.22972,51.49362
83,79.96,Private room,,TRUE,2,FALSE,1,0,9,92,1,10.50439715,6.118177414,110.3120075,225.6319648,-0.04494,51.42925
84,468.97,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,98,2,4.725000889,2.144699435,246.9506326,456.3737395,-0.07626,51.4804
85,399.35,Entire home/apt,FALSE,FALSE,6,TRUE,1,0,9,96,3,7.332827488,0.353314921,167.0140881,408.6198727,-0.23079,51.4946
86,185.33,Private room,FALSE,TRUE,2,FALSE,0,0,10,95,1,5.138973279,0.226132429,230.0741637,489.2792939,-0.16155,51.54934
87,224.37,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,96,1,11.03577042,4.647393772,113.8297534,232.4815916,0.0103,51.459
88,56.68,Private room,FALSE,TRUE,2,TRUE,0,0,9,93,1,10.04194344,5.242813571,113.9555254,234.1749624,-0.06631,51.42657
89,304.1,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,3.303881304,0.660954814,392.4105853,761.4354951,-0.16556,51.4905
90,786,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,10,94,2,4.563525416,0.480681469,,662.0548731,-0.18731,51.49132
91,141.82,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,8.762305628,0.571092334,128.9753713,286.638259,-0.19914,51.44351
92,141.82,Private room,FALSE,TRUE,2,FALSE,0,0,10,95,1,5.917358385,1.067112037,186.2936145,375.1828581,-0.10177,51.45763
93,283.4,Private room,FALSE,TRUE,2,TRUE,1,0,9,97,1,3.221702294,1.152196765,334.8826852,637.3124936,-0.15,51.483
94,216.37,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,7,75,1,13.9286099,4.800464137,87.9842726,191.3849582,0.0713,51.49184
95,266.7,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,1.331994463,0.465244915,647.9994954,1154.887924,-0.10854,51.50655
96,128.88,Private room,FALSE,TRUE,2,FALSE,1,0,10,92,2,8.84193276,0.111624666,128.2521607,287.2432763,-0.20585,51.4457
97,360.78,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,80,0,5.609977519,0.071356604,208.5165894,467.3907158,-0.17927,51.54705
98,463.79,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,73,1,5.532846504,0.146640176,211.5651034,471.0188344,-0.17838,51.54661
